text,intent,sentiment,country,product_group,plan,customer_type,priority,amount_billed,satisfaction_score
What features does ZENDArchive Storage offer?,Information Query,Happy,India,Cloud & Data Center Services,ZENDArchive Storage,Individual,Priority,260.29,5
Need details about ZENDBiz Connect 500.,Information Query,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,463.88,1
Need help fixing my ZENDBiz Connect 100 service.,Technical Support,Happy,Singapore,Business Connectivity,ZENDBiz Connect 100,Individual,Enterprise,363.07,5
I was charged $X instead of $Y for ZENDOffice Net 500.,Billing,Angry,USA,Home & Office Internet,ZENDOffice Net 500,Individual,Priority,31.69,1
Requesting refund for Prepaid Basic 5GB.,Refund,Neutral,India,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Enterprise,57.25,3
I am facing issues with ZENDFleet IoT.,Technical Support,Neutral,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,143.35,3
How do I stop ZENDFleet IoT service?,Cancellation,Neutral,USA,IoT & Smart Solutions,ZENDFleet IoT,Enterprise,Standard,157.88,3
I want a refund for Prepaid Unlimited subscription.,Refund,Happy,Singapore,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,54.11,5
Please terminate my ZENDOffice Net 200 plan.,Cancellation,Neutral,Thailand,Home & Office Internet,ZENDOffice Net 200,Enterprise,Enterprise,121.19,3
I am facing issues with ZENDEnterprise Dedicated.,Technical Support,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,88.39,4
Can I upgrade from ZENDSmart Lighting to a higher plan?,Plan Upgrade,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Standard,159.33,1
Complaint regarding ZENDBiz Connect 1G.,Complaint,Angry,India,Business Connectivity,ZENDBiz Connect 1G,Enterprise,Priority,424.4,1
My ZENDOffice Net 200 is not working properly.,Technical Support,Happy,India,Home & Office Internet,ZENDOffice Net 200,Enterprise,Priority,106.01,5
I want a refund for ZENDEnterprise Dedicated subscription.,Refund,Neutral,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Standard,182.11,3
What features does ZENDFleet IoT offer?,Information Query,Angry,Singapore,IoT & Smart Solutions,ZENDFleet IoT,Individual,Standard,211.36,1
My billing amount for ZENDBiz Connect 500 seems incorrect.,Billing,Satisfied,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Priority,91.88,4
I am facing issues with Postpaid Silver 50GB.,Technical Support,Angry,India,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Enterprise,23.24,1
I want to cancel my ZENDOffice Net 200 subscription.,Cancellation,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 200,Enterprise,Enterprise,45.6,4
I am not happy with my ZENDArchive Storage service.,Complaint,Happy,USA,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Standard,199.6,5
Can you send me my last 2 invoices for ZENDBiz Connect 100?,Billing,Satisfied,India,Business Connectivity,ZENDBiz Connect 100,Individual,Priority,495.92,4
Can I upgrade from ZENDStorage 10TB to a higher plan?,Plan Upgrade,Satisfied,USA,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Priority,114.65,4
How do I claim a refund if I used less than 10% of ZENDEnterprise Dedicated?,Refund,Satisfied,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,223.82,4
How much does ZENDSmart Traffic cost in my country?,Information Query,Satisfied,India,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Standard,373.51,4
How do I claim a refund if I used less than 10% of ZENDStorage 10TB?,Refund,Happy,Singapore,Cloud & Data Center Services,ZENDStorage 10TB,Individual,Priority,86.28,5
Need details about Prepaid Unlimited.,Information Query,Neutral,India,Mobile Connectivity,Prepaid Unlimited,Enterprise,Standard,110.86,3
Requesting refund for ZENDSmart Lighting.,Refund,Satisfied,USA,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Enterprise,189.6,4
I want to cancel my ZENDBiz Connect 1G subscription.,Cancellation,Angry,Singapore,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,198.83,1
I want a refund for ZENDOffice Net 200 subscription.,Refund,Neutral,Thailand,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,135.21,3
Need details about ZENDSmart Traffic.,Information Query,Happy,India,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Enterprise,386.04,5
Can you send me my last 2 invoices for Prepaid Unlimited?,Billing,Angry,USA,Mobile Connectivity,Prepaid Unlimited,Enterprise,Standard,71.51,1
Frustrated with Postpaid Platinum Unlimited connection.,Complaint,Neutral,India,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Priority,128.77,3
Need help fixing my ZENDOffice Net 200 service.,Technical Support,Angry,USA,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,173.65,1
Can I upgrade from ZENDSmart Traffic to a higher plan?,Plan Upgrade,Angry,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Priority,159.27,1
My Prepaid Basic 5GB is not working properly.,Technical Support,Happy,India,Mobile Connectivity,Prepaid Basic 5GB,Individual,Standard,147.89,5
How do I stop ZENDEnterprise Ultra service?,Cancellation,Satisfied,USA,Business Connectivity,ZENDEnterprise Ultra,Individual,Standard,229.68,4
I was charged $X instead of $Y for ZENDEnterprise Ultra.,Billing,Satisfied,USA,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Enterprise,445.71,4
My ZENDCloud VM Pro is not working properly.,Technical Support,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Enterprise,110.85,5
I am not happy with my ZENDOffice Net 1G service.,Complaint,Neutral,India,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Standard,49.33,3
I am facing issues with ZENDBiz Connect 500.,Technical Support,Happy,Singapore,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,168.6,5
I was charged $X instead of $Y for ZENDBiz Connect 100.,Billing,Angry,Thailand,Business Connectivity,ZENDBiz Connect 100,Individual,Enterprise,485.2,1
What are the costs to move from Prepaid Basic 5GB to premium?,Plan Upgrade,Neutral,Thailand,Mobile Connectivity,Prepaid Basic 5GB,Individual,Standard,39.56,3
Can you send me my last 2 invoices for ZENDOffice Net 1G?,Billing,Angry,Thailand,Home & Office Internet,ZENDOffice Net 1G,Individual,Enterprise,172.77,1
I was charged $X instead of $Y for ZENDEnterprise Dedicated.,Billing,Satisfied,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Enterprise,299.73,4
Complaint regarding Prepaid Unlimited.,Complaint,Happy,Thailand,Mobile Connectivity,Prepaid Unlimited,Enterprise,Priority,137.82,5
I am not happy with my ZENDCloud VM Pro service.,Complaint,Angry,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Priority,79.03,1
I want to cancel my ZENDBiz Connect 500 subscription.,Cancellation,Satisfied,Singapore,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,138.0,4
My ZENDOffice Net 200 is not working properly.,Technical Support,Happy,USA,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,101.11,5
How much does Prepaid Plus 20GB cost in my country?,Information Query,Angry,USA,Mobile Connectivity,Prepaid Plus 20GB,Individual,Standard,69.33,1
How much does ZENDSmart Parking cost in my country?,Information Query,Angry,India,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Standard,65.32,1
Complaint regarding Prepaid Unlimited.,Complaint,Satisfied,Singapore,Mobile Connectivity,Prepaid Unlimited,Enterprise,Enterprise,132.91,4
My ZENDIndustrial Sensor is not working properly.,Technical Support,Neutral,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,86.48,3
What are the costs to move from ZENDCloud VM Enterprise to premium?,Plan Upgrade,Happy,USA,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Enterprise,240.0,5
Complaint regarding ZENDSmart Parking.,Complaint,Neutral,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Enterprise,252.66,3
How much does ZENDBiz Connect 500 cost in my country?,Information Query,Happy,Singapore,Business Connectivity,ZENDBiz Connect 500,Individual,Enterprise,399.74,5
Requesting refund for ZENDFiber Home 100 Mbps.,Refund,Happy,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Enterprise,115.65,5
Can I upgrade from ZENDCloud VM Pro to a higher plan?,Plan Upgrade,Satisfied,USA,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Priority,278.67,4
I want a refund for ZENDCloud VM Pro subscription.,Refund,Neutral,India,Cloud & Data Center Services,ZENDCloud VM Pro,Enterprise,Priority,236.81,3
Please terminate my ZENDStorage 1TB plan.,Cancellation,Neutral,India,Cloud & Data Center Services,ZENDStorage 1TB,Enterprise,Priority,44.29,3
I want a refund for ZENDBiz Connect 100 subscription.,Refund,Happy,Singapore,Business Connectivity,ZENDBiz Connect 100,Enterprise,Priority,389.13,5
Please terminate my Postpaid Silver 50GB plan.,Cancellation,Angry,Thailand,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Enterprise,51.23,1
Can I upgrade from Postpaid Platinum Unlimited to a higher plan?,Plan Upgrade,Satisfied,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Enterprise,30.59,4
I want a refund for ZENDFiber Home 1 Gbps subscription.,Refund,Happy,USA,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Priority,48.77,5
How do I claim a refund if I used less than 10% of Prepaid Basic 5GB?,Refund,Neutral,Thailand,Mobile Connectivity,Prepaid Basic 5GB,Individual,Priority,42.4,3
Need help fixing my ZENDEnterprise Dedicated service.,Technical Support,Happy,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Standard,421.64,5
How much does ZENDBiz Connect 500 cost in my country?,Information Query,Angry,USA,Business Connectivity,ZENDBiz Connect 500,Enterprise,Standard,459.86,1
How do I stop ZENDFiber Home 1 Gbps service?,Cancellation,Satisfied,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,21.07,4
How much does ZENDBiz Connect 500 cost in my country?,Information Query,Happy,Thailand,Business Connectivity,ZENDBiz Connect 500,Enterprise,Priority,89.62,5
I am not happy with my ZENDEnterprise Dedicated service.,Complaint,Angry,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,129.75,1
Need details about ZENDOffice Net 200.,Information Query,Happy,India,Home & Office Internet,ZENDOffice Net 200,Individual,Standard,43.77,5
How do I claim a refund if I used less than 10% of ZENDCloud VM Enterprise?,Refund,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Enterprise,Standard,49.58,3
I want to upgrade my ZENDEnterprise Dedicated plan.,Plan Upgrade,Happy,India,Business Connectivity,ZENDEnterprise Dedicated,Individual,Priority,139.87,5
What are the costs to move from Postpaid Silver 50GB to premium?,Plan Upgrade,Neutral,Thailand,Mobile Connectivity,Postpaid Silver 50GB,Individual,Standard,69.26,3
Can I upgrade from ZENDStorage 1TB to a higher plan?,Plan Upgrade,Happy,Thailand,Cloud & Data Center Services,ZENDStorage 1TB,Individual,Priority,39.25,5
Can I upgrade from ZENDCloud VM Basic to a higher plan?,Plan Upgrade,Happy,Singapore,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Enterprise,179.94,5
What are the costs to move from Postpaid Platinum Unlimited to premium?,Plan Upgrade,Happy,Thailand,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Priority,35.27,5
How do I stop ZENDSmart Parking service?,Cancellation,Neutral,Thailand,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Enterprise,170.17,3
I want to cancel my ZENDCloud VM Basic subscription.,Cancellation,Satisfied,Thailand,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Enterprise,31.97,4
Please terminate my ZENDIndustrial Sensor plan.,Cancellation,Happy,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Enterprise,Priority,219.55,5
What are the costs to move from Postpaid Silver 50GB to premium?,Plan Upgrade,Happy,USA,Mobile Connectivity,Postpaid Silver 50GB,Enterprise,Priority,81.0,5
My billing amount for ZENDStorage 10TB seems incorrect.,Billing,Happy,USA,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Enterprise,257.5,5
How do I stop ZENDBiz Connect 100 service?,Cancellation,Angry,Singapore,Business Connectivity,ZENDBiz Connect 100,Individual,Standard,478.76,1
Please terminate my ZENDSmart Parking plan.,Cancellation,Satisfied,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Individual,Standard,226.31,4
I want to upgrade my Prepaid Plus 20GB plan.,Plan Upgrade,Angry,Singapore,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Enterprise,33.88,1
Can I upgrade from ZENDBiz Connect 500 to a higher plan?,Plan Upgrade,Angry,Thailand,Business Connectivity,ZENDBiz Connect 500,Individual,Standard,108.07,1
I want a refund for ZENDFiber Home 300 Mbps subscription.,Refund,Satisfied,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Priority,148.96,4
Requesting refund for ZENDFiber Home 300 Mbps.,Refund,Neutral,India,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Priority,55.99,3
I am facing issues with ZENDBiz Connect 100.,Technical Support,Neutral,India,Business Connectivity,ZENDBiz Connect 100,Individual,Priority,499.28,3
Requesting refund for ZENDEnterprise Dedicated.,Refund,Satisfied,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Individual,Enterprise,337.09,4
I am not happy with my ZENDOffice Net 1G service.,Complaint,Neutral,USA,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Priority,55.12,3
Can you send me my last 2 invoices for Prepaid Unlimited?,Billing,Neutral,USA,Mobile Connectivity,Prepaid Unlimited,Enterprise,Enterprise,56.54,3
What features does ZENDIndustrial Sensor offer?,Information Query,Angry,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Standard,160.84,1
What are the costs to move from ZENDSmart Parking to premium?,Plan Upgrade,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Individual,Priority,288.36,3
Frustrated with ZENDCloud VM Enterprise connection.,Complaint,Neutral,USA,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Priority,68.67,3
How do I claim a refund if I used less than 10% of ZENDSmart Lighting?,Refund,Angry,USA,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Priority,169.21,1
I want to cancel my ZENDBiz Connect 1G subscription.,Cancellation,Satisfied,Thailand,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,375.05,4
Can I upgrade from Prepaid Unlimited to a higher plan?,Plan Upgrade,Neutral,India,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,124.61,3
Frustrated with ZENDIndustrial Sensor connection.,Complaint,Satisfied,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Enterprise,205.41,4
I want to cancel my ZENDFiber Home 300 Mbps subscription.,Cancellation,Angry,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Enterprise,69.02,1
What features does Prepaid Unlimited offer?,Information Query,Happy,USA,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,94.68,5
I want to upgrade my ZENDEnterprise Dedicated plan.,Plan Upgrade,Happy,Singapore,Business Connectivity,ZENDEnterprise Dedicated,Individual,Priority,168.42,5
Need details about ZENDBiz Connect 1G.,Information Query,Satisfied,USA,Business Connectivity,ZENDBiz Connect 1G,Individual,Standard,279.13,4
I am facing issues with Prepaid Basic 5GB.,Technical Support,Neutral,India,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Enterprise,20.53,3
I want a refund for ZENDOffice Net 200 subscription.,Refund,Happy,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Priority,125.47,5
Need details about ZENDCloud VM Pro.,Information Query,Angry,USA,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Standard,54.05,1
How much does ZENDBiz Connect 100 cost in my country?,Information Query,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 100,Enterprise,Enterprise,98.33,3
Please terminate my ZENDArchive Storage plan.,Cancellation,Satisfied,Singapore,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Priority,207.45,4
My billing amount for Postpaid Platinum Unlimited seems incorrect.,Billing,Angry,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Enterprise,26.23,1
My ZENDBiz Connect 1G is not working properly.,Technical Support,Happy,India,Business Connectivity,ZENDBiz Connect 1G,Individual,Priority,485.47,5
Frustrated with Postpaid Platinum Unlimited connection.,Complaint,Neutral,India,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Priority,38.17,3
Can you send me my last 2 invoices for ZENDFiber Home 1 Gbps?,Billing,Satisfied,India,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,26.81,4
My billing amount for ZENDBiz Connect 100 seems incorrect.,Billing,Satisfied,USA,Business Connectivity,ZENDBiz Connect 100,Enterprise,Enterprise,126.03,4
Please terminate my ZENDSmart Traffic plan.,Cancellation,Neutral,Singapore,IoT & Smart Solutions,ZENDSmart Traffic,Enterprise,Enterprise,301.55,3
I want a refund for ZENDEnterprise Dedicated subscription.,Refund,Neutral,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Individual,Standard,410.02,3
What are the costs to move from ZENDArchive Storage to premium?,Plan Upgrade,Neutral,Thailand,Cloud & Data Center Services,ZENDArchive Storage,Enterprise,Priority,268.39,3
Please terminate my ZENDArchive Storage plan.,Cancellation,Neutral,USA,Cloud & Data Center Services,ZENDArchive Storage,Individual,Standard,29.7,3
I was charged $X instead of $Y for ZENDOffice Net 500.,Billing,Angry,Thailand,Home & Office Internet,ZENDOffice Net 500,Enterprise,Priority,77.59,1
